"2","BRONZE","Bronze","25","10"
"3","ARGENT","Argent","25","15"
"4","6 HONNEURS","SIX HONNEURS","25","16"
"5","ALPHA : CHEVALIER (CH OMM) ","Chevalier de l'Ordre de Merite de Madagascar","40","20"
"6","BRAVO :  OFFICIER (OFF OMM)","Officier de l'Ordre de Merite de Madagascar","45","25"
"7","CHARLIE : COMMANDEUR (COMM OMM) ","Commandeur de l'Ordre de Merite de Madagascar","50","30"
"8","ALPHA : CHEVALIER (CH ONM)","Chevalier de l'Ordre National de Madagascar","45","20"
"9","BRAVO : OFFICIER (OFF ONM)","Officier de l'Ordre National de Madagascar","50","25"
"10","CHARLIE : COMMANDEUR (COMM ONM)","Commandeur de l'Ordre National de Madagascar","54","29"
"11","DELTA : GRAND OFFICIER (GRAND OFF)","Grand Officier","57","32"
"12","ECHO : GRAND CROIX DE DEUXIEME CLASSE","Grand croix de 2̩me Classe","62","37"
